ID;First Name;Last Name;Email;Phone Number;Fax Number;Billing Address;Billing City;Billing State;Billing Zip Code;Company Name;Company Website;Ship Address;Ship City;Ship State;Ship Zip Code;Ship Phone Number
1;Andy;Wijaya;andy.wijaya@gmail.com;081262087000;081262087000;Jalan Ilyas No. 8, Simpang Kantor;Irvine city;Sumatera Utara;20252;Warung Pintar;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20252;081262087000
2;Kevin;Wijaya;kevin.wijaya@gmail.com;081262087001;081262087001;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20253;Contonso, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20253;081262087000
3;Raja;Kusuma;raja.kusuma@gmail.com;081262087000;081262087000;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20254;Contonso, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20254;081262087000
4;Anwar;Firdaus;anwar.firdaus@gmail.com;081262087001;081262087001;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20255;Contonso, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20255;081262087000
5;Dian;Tri;dian.tri@gmail.com;081262087000;081262087000;Jalan Ilyas No. 8, Simpang Kantor;Irvine city;Sumatera Utara;20256;Contonso, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20256;081262087000
6;Ruslan;Hidayat;ruslan.hidayat@gmail.com;081262087001;081262087001;Jalan Ilyas No. 8, Simpang Kantor;Irvine city;Sumatera Utara;20257;Contonso, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20257;081262087000
7;Mansur;Sulaiman;mansur.sulaiman@gmail.com;081262087000;081262087000;Jalan Ilyas No. 8, Simpang Kantor;Irvine city;Sumatera Utara;20258;Contonso, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20258;081262087000
8;Krisna;Agung;krisna.agung@gmail.com;081262087001;081262087001;Jalan Ilyas No. 8, Simpang Kantor;Irvine city;Sumatera Utara;20259;GroundUp Ai, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20259;081262087000
9;Amir;Daud;amir.daud@gmail.com;081262087000;081262087000;Jalan Ilyas No. 8, Simpang Kantor;Irvine city;Sumatera Utara;20260;GroundUp Ai, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20260;081262087000
10;Rahman;Bachtiar;rahman.bachtiar@gmail.com;081262087001;081262087001;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20261;GroundUp Ai, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20261;081262087000
