ID;First Name;Last Name;Title;Work Phone
1;Adam;Barr;Sales Manager;081262082704
2;Adi;Firdaus;Sales Manager;081262082705
3;Raja;Tri;Sales Manager;081262082704
4;Anwar;Hidayat;Sales Manager;081262082705
5;Dian;Sulaiman;Sales Manager;081262082704
6;Ruslan;Agung;Sales Manager;081262082705
7;Mansur;Daud;Sales Manager;081262082704
8;Krisna;Bachtiar;Sales Manager;081262082705
9;Amir;Bagus;Sales Manager;081262082704
10;Rahman;Ali;Sales Manager;081262082705
11;Jamaluddin;Budi;Sales Manager;081262082704
12;Guntur;Harun;Kasir;081262082705
13;Mansur;Amir;Kasir;081262082704
14;Arif;Yohanes;Kasir;081262082705
15;Arif;Taufik;Kasir;081262082704
16;Zulfikar;Akbar;Kasir;081262082705
17;Idris;Amir;Kasir;081262082704
18;Jamaluddin;Yuda;Kasir;081262082705
19;Lutfi;Budi;Kasir;081262082704
20;Tirta;Cahya;Kasir;081262082705
